Subject,Block,Round,Condition,Index,from,to,set,Object,Position,StartTime,EndTime,FB_EndTime,dError,dMoved,totalAngle,directionChange,nManipulation,estimation_dError,Time,TimeCompensated,Q1,Q2,Q3,Q4,Q1z,Q2z,Q3z,Q4z,MemoryPerform,PathEfficiency,TimeEfficiency,tCenter,tPeri,dEndpoint
1,1,2,2,8,2,3,4,Chair,3,829.400,841.406,846.085,18.126,76.795,298.400,3,5,4.078961,1.007813,0.675459258,-10,-10,-10,-10,-10,-10,-10,-10,0.943826873,1.136047111,9.680666108,2,5.9,42.18862398
1,1,2,2,9,3,1,4,Shield,15,847.097,853.288,858.249,27.770,62.044,136.801,2,3,4.749463,1.011047,0.624060755,-10,-10,-10,-10,-10,-10,-10,-10,0.87774653,1.045338744,13.27730949,0,4.603,37.20623919
1,1,2,2,10,1,2,4,IceCream,9,859.260,865.576,867.727,12.000,75.343,157.601,3,4,3.608392,1.010742,0.71673022,-10,-10,-10,-10,-10,-10,-10,-10,0.973520225,1.031374732,15.75413987,0.7,4.04,41.92017509
1,1,2,2,11,2,1,4,Shield,15,868.738,876.530,879.824,19.492,78.270,241.600,4,4,4.759135,1.011047,0.62327268,-10,-10,-10,-10,-10,-10,-10,-10,0.935847728,1.178265334,12.43039803,2.2,4.062,41.72558631
1,1,2,2,12,1,3,4,Chair,3,880.834,888.747,897.469,9.545,83.387,184.802,4,6,4.352237,1.259521,0.904900729,-10,-10,-10,-10,-10,-10,-10,-10,0.982486041,1.098594488,12.87452201,2.5,3.866,43.63060445
1,1,2,2,13,3,2,4,IceCream,9,898.481,905.051,908.331,12.059,78.354,173.600,2,3,2.689818,1.187317,0.968150629,-10,-10,-10,-10,-10,-10,-10,-10,0.973283507,1.080142703,15.52597088,0,5.019,41.96158997
1,1,2,2,14,2,3,4,Chair,3,909.341,921.933,930.225,3.292,86.289,264.800,4,7,2.10129,1.245422,1.074208891,-10,-10,-10,-10,-10,-10,-10,-10,0.997223058,1.069147182,7.77012334,0,11.059,45.54835439
1,2,3,2,1,0,1,6,ABat,11,1172.851,1177.624,1184.101,23.383,31.450,144.800,4,4,4.721592,1.081665,0.696949684,-10,-10,-10,-10,-10,-10,-10,-10,0.910560978,1.040604316,9.44278958,3.049,0.2,29.33686651
1,2,3,2,2,1,3,6,TrafficCone,5,1185.102,1190.276,1194.981,33.416,59.007,143.202,2,2,3.935665,1.081421,0.760743016,-10,-10,-10,-10,-10,-10,-10,-10,0.829346154,1.056543543,16.02676888,0,3.598,40.65947822
1,2,3,2,3,3,2,6,Chicken,17,1195.992,1200.949,1204.065,23.463,61.172,96.801,2,2,5.311361,1.010986,0.578216306,-10,-10,-10,-10,-10,-10,-10,-10,0.910002488,1.005302444,17.67492426,0.8,2.608,34.95708682
1,2,3,2,4,2,3,6,TrafficCone,5,1205.075,1213.059,1216.927,23.768,69.019,282.400,3,3,4.392669,1.000122,0.64220733,-10,-10,-10,-10,-10,-10,-10,-10,0.907859323,1.105233117,10.61465439,0,6.425,38.83716928
1,2,3,2,5,3,1,6,ABat,11,1217.937,1224.390,1234.125,14.050,78.912,119.201,2,3,5.298429,1.011108,0.579392005,-10,-10,-10,-10,-10,-10,-10,-10,0.964722603,1.029346358,15.85073423,2.3,2.563,35.15254351
1,2,3,2,6,1,2,6,Chicken,17,1235.135,1244.517,1248.082,13.355,76.205,301.600,3,3,3.181237,1.010498,0.751290809,-10,-10,-10,-10,-10,-10,-10,-10,0.967836538,1.096284886,9.67239362,2.4,5.465,36.64860668
1,2,3,2,7,2,1,6,ABat,11,1249.083,1257.155,1260.460,9.614,88.837,194.401,3,3,3.111655,1.245972,0.992434351,-10,-10,-10,-10,-10,-10,-10,-10,0.982257893,1.188142371,13.53478102,2.5,4.017,43.39310518
1,2,3,2,8,1,3,6,TrafficCone,5,1261.470,1267.383,1269.605,8.698,77.307,115.201,5,5,4.796348,1.200317,0.809510565,-10,-10,-10,-10,-10,-10,-10,-10,0.985172633,1.01340073,17.41610988,0.5,3.83,40.44334947
1,2,3,2,9,3,2,6,Chicken,17,1270.615,1276.564,1278.822,16.090,77.032,147.201,1,3,4.26282,1.010742,0.663407426,-10,-10,-10,-10,-10,-10,-10,-10,0.954819383,1.081973164,17.09869621,0,4.385,44.0003033
1,2,3,2,10,2,3,6,TrafficCone,5,1279.832,1286.146,1289.684,17.084,82.707,204.801,2,2,2.656868,1.009888,0.793406395,-10,-10,-10,-10,-10,-10,-10,-10,0.949588993,1.191193344,16.94439962,2.3,2.468,42.62874973
1,2,3,2,11,3,1,6,ABat,11,1290.695,1297.172,1300.829,11.928,76.732,119.201,3,5,3.190184,1.128418,0.868481808,-10,-10,-10,-10,-10,-10,-10,-10,0.973807766,1.016271259,15.51144418,1.3,3.605,45.12273718
1,2,3,2,12,1,2,6,Chicken,17,1301.839,1307.683,1310.308,15.281,71.841,128.000,5,6,6.432254,1.128906,0.604805944,-10,-10,-10,-10,-10,-10,-10,-10,0.958881618,1.010987485,16.33680351,1.1,3.161,39.34149452
1,2,3,2,13,2,1,6,ABat,11,1311.317,1317.816,1320.601,16.067,86.035,178.401,1,1,3.188112,1.222412,0.962644634,-10,-10,-10,-10,-10,-10,-10,-10,0.954937298,1.249232947,16.998074,3,1.983,32.80493086
1,2,3,2,14,1,2,6,Chicken,17,1321.601,1332.736,1335.145,10.813,114.769,322.401,2,2,3.260189,1.011353,0.7457128,-10,-10,-10,-10,-10,-10,-10,-10,0.978072042,1.574429809,11.86440335,3.5,6.099,38.14732392
1,2,4,1,1,0,3,3,Old_Telephone,2,1589.511,1597.658,1599.951,12.990,38.195,180.000,3,4,7.299509,1.021606,0.426842007,-10,-10,-10,-10,-10,-10,-10,-10,0.969418211,1.058743144,5.693052436,5.769,0.8,36.43505401
1,2,4,1,2,3,2,3,Banana,8,1600.953,1606.746,1610.329,13.416,76.666,196.800,2,2,7.363377,1.067383,0.467415042,-10,-10,-10,-10,-10,-10,-10,-10,0.967568586,1.084755347,17.74632874,0.9,3.327,39.76908793
1,2,4,1,3,2,1,3,Shovel,14,1611.340,1615.819,1620.169,34.469,52.478,66.400,2,3,8.988173,1.305054,0.572697664,-10,-10,-10,-10,-10,-10,-10,-10,0.819606257,1.001393748,17.48894379,0,2.94,33.95451984
1,2,4,1,4,1,3,3,Old_Telephone,2,1621.179,1627.415,1631.481,7.814,83.477,176.800,3,3,5.914444,1.021606,0.539697103,-10,-10,-10,-10,-10,-10,-10,-10,0.987749963,1.063082733,17.29542995,1.4,3.301,47.02547461
1,2,4,1,5,3,1,3,Shovel,14,1632.491,1638.522,1654.026,79.213,72.364,152.000,2,3,5.242412,1.01123,0.58407827,-10,-10,-10,-10,-10,-10,-10,-10,0.282620464,1.058462718,15.64246386,2.2,2.289,36.49640866
1,2,4,1,6,1,2,3,Banana,8,1655.037,1663.680,1667.124,15.642,85.018,227.200,2,3,3.710133,1.49353,1.191228363,-10,-10,-10,-10,-10,-10,-10,-10,0.957090669,1.241668533,11.86756567,0,7.143,33.30490358
1,2,4,1,7,2,3,3,Old_Telephone,2,1668.134,1676.024,1682.101,13.903,73.109,177.600,1,2,3.702439,1.011108,0.70943327,-10,-10,-10,-10,-10,-10,-10,-10,0.965392367,1.03897012,11.4103439,0,6.346,41.57204299
1,2,4,1,8,3,1,3,Shovel,14,1683.110,1693.115,1700.689,16.303,78.571,227.200,3,5,3.139775,1.010986,0.755157133,-10,-10,-10,-10,-10,-10,-10,-10,0.953720676,1.143360973,9.150099253,5.7,2.77,32.34830144
1,2,4,1,9,1,3,3,Old_Telephone,2,1701.699,1706.733,1710.611,25.331,62.754,67.200,3,3,8.796053,1.141113,0.424410602,-10,-10,-10,-10,-10,-10,-10,-10,0.896534216,1.011455288,17.40820379,0,3.481,37.34842486
1,2,4,1,10,3,2,3,Banana,8,1711.620,1717.171,1720.860,18.013,68.568,120.000,2,2,4.286468,1.175659,0.826397587,-10,-10,-10,-10,-10,-10,-10,-10,0.944465426,1.022145492,16.77884981,0,3.96,39.56932382
1,2,4,1,11,2,1,3,Shovel,14,1721.871,1727.960,1730.382,13.464,70.829,110.400,2,2,6.355864,1.12854,0.610664201,-10,-10,-10,-10,-10,-10,-10,-10,0.967357012,1.012732297,15.36073097,1.1,3.409,38.34313408
1,2,4,1,12,1,2,3,Banana,8,1731.393,1739.002,1740.789,5.567,103.604,234.400,2,3,3.157933,1.011108,0.753799619,-10,-10,-10,-10,-10,-10,-10,-10,0.993241904,1.286081521,16.69878867,3.1,2.987,42.81720979
1,2,4,1,13,2,3,3,Old_Telephone,2,1741.799,1748.654,1751.002,15.661,76.816,204.800,2,3,5.330495,1.010132,0.575803267,-10,-10,-10,-10,-10,-10,-10,-10,0.956995436,1.134662991,14.43311319,0,5.281,38.95408471
1,2,4,1,14,3,2,3,Banana,8,1752.003,1761.514,1764.981,22.392,73.889,195.200,2,2,5.107707,1.211304,0.795128034,-10,-10,-10,-10,-10,-10,-10,-10,0.917352445,1.12512772,9.179011348,0.9,7.077,43.26665367
1,3,5,1,1,0,1,5,PickAxe,16,2091.263,2100.231,2104.723,20.566,28.321,202.400,2,3,14.29901,2.410156,1.245072665,-10,-10,-10,-10,-10,-10,-10,-10,0.929241477,1.007267293,3.777391504,7.257,0.2,28.92984517
1,3,5,1,2,1,3,5,Guitar,4,2105.734,2116.316,2119.502,13.389,70.428,243.200,2,4,8.984743,1.845947,1.11387014,-10,-10,-10,-10,-10,-10,-10,-10,0.967687316,1.005823147,7.721775397,0.9,8.086,39.35279953
1,3,5,1,3,3,2,5,Donuts,10,2120.513,2129.022,2138.582,17.522,78.831,125.600,2,3,4.220593,1.022705,0.678811082,-10,-10,-10,-10,-10,-10,-10,-10,0.94720147,1.010721103,11.57057289,2.6,4.207,36.33704754
1,3,5,1,4,2,3,5,Guitar,4,2139.592,2147.527,2155.464,22.961,69.510,183.200,3,5,5.829673,1.130859,0.655857244,-10,-10,-10,-10,-10,-10,-10,-10,0.913481781,1.018818836,10.80502961,0,6.428,46.04693588
1,3,5,1,5,3,1,5,PickAxe,16,2156.475,2164.114,2172.709,64.829,87.396,156.000,4,7,5.793529,1.128662,0.656605257,-10,-10,-10,-10,-10,-10,-10,-10,0.469341352,1.005823821,14.22710494,2.8,3.245,39.76393228
1,3,5,1,6,1,2,5,Donuts,10,2173.719,2182.136,2186.947,36.324,54.497,189.600,2,3,5.861462,1.222656,0.745064076,-10,-10,-10,-10,-10,-10,-10,-10,0.801936008,1.012537332,7.82653134,0,6.901,43.18805805
1,3,5,1,7,2,1,5,PickAxe,16,2187.958,2195.762,2199.585,27.461,62.497,192.000,3,3,5.30178,1.01123,0.579240966,-10,-10,-10,-10,-10,-10,-10,-10,0.88020029,1.004568943,9.864845929,0,6.262,44.13486806
1,3,5,1,8,1,3,5,Guitar,4,2200.596,2208.295,2210.282,3.257,81.970,134.400,4,5,5.827364,1.340332,0.865518381,-10,-10,-10,-10,-10,-10,-10,-10,0.99727177,1.007882785,13.35796398,1.7,4.424,45.15328573
1,3,5,1,9,3,1,5,PickAxe,16,2211.292,2220.791,2223.765,13.819,69.892,196.000,1,1,5.828288,1.010986,0.536097094,-10,-10,-10,-10,-10,-10,-10,-10,0.965772414,1.005652548,8.758244977,1.6,6.328,38.52482159
1,3,5,1,10,1,2,5,Donuts,10,2224.775,2231.407,2234.324,16.220,74.473,89.600,1,3,4.596481,1.008789,0.634267728,-10,-10,-10,-10,-10,-10,-10,-10,0.95415025,1.005506264,14.62249311,0,5.045,47.34932448
1,3,5,1,11,2,3,5,Guitar,4,2235.333,2243.059,2255.002,60.288,87.365,162.400,2,5,5.202995,1.164795,0.740854967,-10,-10,-10,-10,-10,-10,-10,-10,0.527667853,1.027997635,13.91012031,3,3.187,37.99910659
1,3,5,1,12,3,2,5,Donuts,10,2256.013,2272.118,2282.981,86.861,63.174,430.399,4,9,5.81203,1.011475,0.537910796,-10,-10,-10,-10,-10,-10,-10,-10,0.187792352,1.094900991,4.28923487,1,13.507,39.59181434
1,3,5,1,13,2,1,5,PickAxe,16,2283.990,2297.135,2300.344,25.769,86.030,392.000,2,6,5.641749,1.000244,0.540554291,-10,-10,-10,-10,-10,-10,-10,-10,0.893259224,1.277294282,7.38915714,0,11.63,48.95527474
1,3,5,1,14,1,2,5,Donuts,10,2301.346,2315.500,2318.707,6.486,81.940,224.000,2,5,6.385686,1.092773,0.572467305,-10,-10,-10,-10,-10,-10,-10,-10,0.991181131,1.033478898,6.430586149,1.9,10.674,41.92070901
1,3,6,2,1,0,2,2,Apple,13,2514.855,2520.086,2523.625,18.579,33.548,72.002,3,3,5.271337,1.587158,1.157649461,-10,-10,-10,-10,-10,-10,-10,-10,0.941233856,1.01708571,8.760504576,3.105,0.6,32.85773797
1,3,6,2,2,2,3,2,FireExtinguisher,1,2524.636,2532.130,2536.981,16.243,91.719,215.201,2,3,6.626685,1.196777,0.656834706,-10,-10,-10,-10,-10,-10,-10,-10,0.954031395,1.186447752,15.27211739,3,2.924,35.50679139
1,3,6,2,3,3,1,2,Hammer,7,2537.992,2546.021,2548.208,16.299,74.574,163.200,2,3,5.748136,1.001465,0.533106879,-10,-10,-10,-10,-10,-10,-10,-10,0.95374142,1.10865242,11.30988927,2.2,4.268,35.49025391
1,3,6,2,4,1,2,2,Apple,13,2549.208,2555.049,2557.507,13.245,77.592,216.001,2,2,6.314084,1.117188,0.602716436,-10,-10,-10,-10,-10,-10,-10,-10,0.968317115,1.100685353,17.72563647,1.2,3.052,37.07940184
