Subject,Block,Round,Condition,EN_TimeSpent,EN_dMoved,EN_nDirectionChange,EN_nManipulation,EN_PathEfficiency,EN_TimeEfficiency,EN_tCenter,EN_tPeri
22,3,6,1,111.165,917.8235,34,48,917.2668618,7.969303752,25.5,89.6
23,1,1,1,158.3666,876.4702,42,68,876.2632186,5.215852492,21.1,146.9
23,1,2,2,132.3174,879.2056,50,80,878.3524871,6.225035344,27,114.1
23,2,3,2,82.22046,876.8671,46,60,874.8131186,9.45743912,19.5,73
23,2,4,1,91.28564,848.4169,27,47,847.2792833,8.844251392,13.1,82.7
23,3,5,1,82.52856,861.7173,34,48,860.7537886,9.417437512,17.4,74
23,3,6,2,82.83594,832.1646,28,51,829.6977963,9.547730682,10.3,76.6
24,1,1,2,217.1948,843.1182,46,82,839.0208372,3.62898286,32.2,199
24,1,2,1,166.2799,878.4008,23,51,877.7540597,4.663942932,29.9,158.3
24,2,3,1,170.5601,827.0853,28,50,826.5945889,4.320933554,27.3,164
24,2,4,2,176.53,886.8054,54,70,885.006785,4.478779276,43.6,154
24,3,5,2,163.7144,858.5636,39,59,856.6853876,4.525543516,38.5,150.8
24,3,6,1,184.6787,807.4996,24,57,807.1079516,4.143264639,31,163.8
25,1,1,1,282.4904,801.4903,41,71,801.1498817,2.679431043,51.2,247.8
25,1,2,2,184.4658,806.1724,67,83,802.3083642,4.035756359,34.9,163.9
25,2,3,2,163.1731,830.9667,39,50,827.8225589,4.838238217,20.2,150.9
25,2,4,1,147.5374,899.9523,25,53,899.0896542,5.67607105,18.7,139.7
25,3,5,1,138.772,966.8242,42,66,965.7585817,5.93217802,33.7,129.1
25,3,6,2,122.3608,959.7635,64,84,956.8507186,6.426129742,25.4,123.5
26,1,1,2,183.0197,801.311,56,71,798.4570583,3.8203687,64.6,144.4
26,1,2,1,155.8391,845.5712,16,40,845.3544014,4.872359662,40.5,133
26,2,3,1,139.1013,864.1402,25,49,863.4797612,5.639972313,31.6,121.5
26,2,4,2,154.739,816.2572,36,54,814.4189047,4.962942747,31.3,132.8
26,3,5,2,115.5393,801.58,23,38,798.8324646,6.280129439,21.1,106.1
26,3,6,1,106.3584,807.0269,15,32,806.2314444,7.237266108,17.1,94.3
27,1,1,1,105.6037,837.7705,37,48,836.6555117,7.470138497,18.9,93.1
27,1,2,2,107.4147,809.9555,33,42,807.901894,7.181350169,22.1,90.4
27,2,3,2,82.84705,820.101,31,39,817.4288944,9.460982574,17.2,69.2
27,2,4,1,103.8281,843.8452,24,41,842.9394897,7.826736209,14,93.7
27,3,5,1,88.10083,824.2183,33,41,822.7885883,8.92395432,16.6,75.6
27,3,6,2,91.2251,816.0453,27,32,813.348852,8.652647362,15.9,78.1
